RaceID,Year,Driver,Team,QualiPos,RacePos
AzerbaijanGrandPrix2021,2021,max_verstappen,red_bull,3,18
AzerbaijanGrandPrix2021,2021,gasly,alphatauri,4,3
AzerbaijanGrandPrix2021,2021,sainz,ferrari,5,8
AzerbaijanGrandPrix2021,2021,norris,mclaren,6,5
AzerbaijanGrandPrix2021,2021,perez,red_bull,7,1
AzerbaijanGrandPrix2021,2021,tsunoda,alphatauri,8,7
AzerbaijanGrandPrix2021,2021,alonso,alpine,9,6
AzerbaijanGrandPrix2021,2021,bottas,mercedes,10,12
AzerbaijanGrandPrix2021,2021,vettel,aston_martin,11,2
AzerbaijanGrandPrix2021,2021,ocon,alpine,12,20
AzerbaijanGrandPrix2021,2021,ricciardo,mclaren,13,9
AzerbaijanGrandPrix2021,2021,raikkonen,alfa,14,10
AzerbaijanGrandPrix2021,2021,russell,williams,15,17
AzerbaijanGrandPrix2021,2021,latifi,williams,16,16
AzerbaijanGrandPrix2021,2021,mick_schumacher,haas,17,13
AzerbaijanGrandPrix2021,2021,mazepin,haas,18,14
AzerbaijanGrandPrix2021,2021,stroll,aston_martin,19,19
AzerbaijanGrandPrix2021,2021,giovinazzi,alfa,20,11
FrenchGrandPrix2021,2021,max_verstappen,red_bull,1,1
FrenchGrandPrix2021,2021,hamilton,mercedes,2,2
FrenchGrandPrix2021,2021,bottas,mercedes,3,4
FrenchGrandPrix2021,2021,perez,red_bull,4,3
FrenchGrandPrix2021,2021,sainz,ferrari,5,11
FrenchGrandPrix2021,2021,gasly,alphatauri,6,7
FrenchGrandPrix2021,2021,leclerc,ferrari,7,16
FrenchGrandPrix2021,2021,norris,mclaren,8,5
FrenchGrandPrix2021,2021,alonso,alpine,9,8
FrenchGrandPrix2021,2021,ricciardo,mclaren,10,6
FrenchGrandPrix2021,2021,ocon,alpine,11,14
FrenchGrandPrix2021,2021,vettel,aston_martin,12,9
FrenchGrandPrix2021,2021,giovinazzi,alfa,13,15
FrenchGrandPrix2021,2021,russell,williams,14,12
FrenchGrandPrix2021,2021,mick_schumacher,haas,15,19
FrenchGrandPrix2021,2021,latifi,williams,16,18
FrenchGrandPrix2021,2021,raikkonen,alfa,17,17
FrenchGrandPrix2021,2021,mazepin,haas,18,20
FrenchGrandPrix2021,2021,stroll,aston_martin,19,10
FrenchGrandPrix2021,2021,tsunoda,alphatauri,20,13
StyrianGrandPrix2021,2021,max_verstappen,red_bull,1,1
StyrianGrandPrix2021,2021,bottas,mercedes,2,3
StyrianGrandPrix2021,2021,hamilton,mercedes,3,2
StyrianGrandPrix2021,2021,norris,mclaren,4,5
StyrianGrandPrix2021,2021,perez,red_bull,5,4
StyrianGrandPrix2021,2021,gasly,alphatauri,6,20
StyrianGrandPrix2021,2021,leclerc,ferrari,7,7
StyrianGrandPrix2021,2021,tsunoda,alphatauri,8,10
StyrianGrandPrix2021,2021,alonso,alpine,9,9
StyrianGrandPrix2021,2021,stroll,aston_martin,10,8
StyrianGrandPrix2021,2021,russell,williams,11,19
StyrianGrandPrix2021,2021,sainz,ferrari,12,6
StyrianGrandPrix2021,2021,ricciardo,mclaren,13,13
StyrianGrandPrix2021,2021,vettel,aston_martin,14,12
StyrianGrandPrix2021,2021,giovinazzi,alfa,15,15
StyrianGrandPrix2021,2021,latifi,williams,16,17
StyrianGrandPrix2021,2021,ocon,alpine,17,14
StyrianGrandPrix2021,2021,raikkonen,alfa,18,11
StyrianGrandPrix2021,2021,mick_schumacher,haas,19,16
StyrianGrandPrix2021,2021,mazepin,haas,20,18
AustrianGrandPrix2021,2021,max_verstappen,red_bull,1,1
AustrianGrandPrix2021,2021,norris,mclaren,2,3
AustrianGrandPrix2021,2021,perez,red_bull,3,6
AustrianGrandPrix2021,2021,hamilton,mercedes,4,4
AustrianGrandPrix2021,2021,bottas,mercedes,5,2
AustrianGrandPrix2021,2021,gasly,alphatauri,6,9
AustrianGrandPrix2021,2021,tsunoda,alphatauri,7,12
AustrianGrandPrix2021,2021,vettel,aston_martin,8,17
AustrianGrandPrix2021,2021,russell,williams,9,11
AustrianGrandPrix2021,2021,stroll,aston_martin,10,13
AustrianGrandPrix2021,2021,sainz,ferrari,11,5
AustrianGrandPrix2021,2021,leclerc,ferrari,12,8
AustrianGrandPrix2021,2021,ricciardo,mclaren,13,7
AustrianGrandPrix2021,2021,alonso,alpine,14,10
AustrianGrandPrix2021,2021,giovinazzi,alfa,15,14
AustrianGrandPrix2021,2021,raikkonen,alfa,16,15
AustrianGrandPrix2021,2021,ocon,alpine,17,20
AustrianGrandPrix2021,2021,latifi,williams,18,16
AustrianGrandPrix2021,2021,mick_schumacher,haas,19,18
